Name,AgeYears,AgeMonths,Gender,ClientId,ClientCode,RegionId,Region,InstitutionId,Institution,GroupId,Group,SubGroupId1,SubGroup1,SubGroupId2,SubGroup2,TestResultId,DateCompleted,DaysSince,QuestionsCompleted,Band,Score,Duration,An01,Sc01,Du01,An02,Sc02,Du02,An03,Sc03,Du03,An04,Sc04,Du04,An05,Sc05,Du05,An06,Sc06,Du06,An07,Sc07,Du07,An08,Sc08,Du08,An09,Sc09,Du09,An10,Sc10,Du10,An11,Sc11,Du11,An12,Sc12,Du12,An13,Sc13,Du13,An14,Sc14,Du14,An15,Sc15,Du15,An16,Sc16,Du16,An17,Sc17,Du17,An18,Sc18,Du18,An19,Sc19,Du19,An20,Sc20,Du20,An21,Sc21,Du21,An22,Sc22,Du22,An23,Sc23,Du23,An24,Sc24,Du24,An25,Sc25,Du25,An26,Sc26,Du26,An27,Sc27,Du27,An28,Sc28,Du28,An29,Sc29,Du29,An30,Sc30,Du30,An31,Sc31,Du31,An32,Sc32,Du32
rkr0951,22,270,F,809,gautnc14stl,,TNC,3191,Rosslyn,27119,NATED,27127,Electrical (Heavy) N1,0,0,658164,23/11/2015 11:37,228,32,4,23,119,Same,1,5,Not the same,1,5,Not the same,1,4,Same,1,4,Same,0,6,Same,1,5,Same,1,3,Not the same,1,3,Same,1,3,Same,1,3,Not the same,1,3,Not the same,1,4,Not the same,1,2,Same,1,3,Same,1,2,Same,0,3,Same,1,2,Same,1,2,Not the same,1,5,Not the same,1,2,Same,1,3,Same,1,3,Not the same,0,4,Same,0,4,Same,0,3,Same,1,7,Same,0,4,Not the same,1,5,Same,1,3,Not the same,0,6,Same,0,5,Same,0,3
rkr0952,21,260,M,809,gautnc14stl,,TNC,3191,Rosslyn,27119,NATED,27127,Electrical (Heavy) N1,0,0,658149,23/11/2015 11:32,228,32,2,20,118,Same,1,4,Not the same,1,4,Not the same,1,3,Same,1,2,Same,0,4,Same,1,2,Same,1,4,Not the same,1,3,Same,1,4,Same,1,5,Same,0,2,Not the same,1,4,Not the same,1,5,Same,1,3,Same,1,4,Same,0,5,Same,1,2,Same,1,3,Not the same,1,4,Same,0,4,Not the same,0,4,Same,1,4,Same,1,2,Not the same,1,5,Same,0,3,Same,1,3,Same,0,6,Same,0,2,Not the same,0,7,Not the same,0,4,Same,0,3,Same,0,4
rkr0953,22,275,F,809,gautnc14stl,,TNC,3191,Rosslyn,27119,NATED,27127,Electrical (Heavy) N1,0,0,658064,23/11/2015 10:56,228,32,3,22,118,Same,1,4,Not the same,1,5,Not the same,1,3,Same,1,4,Same,0,4,Same,1,2,Same,1,5,Not the same,1,4,Same,1,2,Same,1,6,Same,0,2,Not the same,1,2,Not the same,1,2,Same,1,5,Same,1,2,Not the same,1,2,Not the same,0,3,Same,1,2,Not the same,1,5,Not the same,1,8,Not the same,0,6,Same,1,4,Same,1,5,Not the same,1,4,Same,0,6,Same,1,2,Not the same,1,2,Same,0,3,Not the same,0,3,Not the same,0,3,Same,0,5,Same,0,3
rkr0954,20,251,M,809,gautnc14stl,,TNC,3193,Temba,27164,NATED,27208,Management Assistant N4,0,0,657929,23/11/2015 10:27,228,32,4,23,205,Same,1,5,Not the same,1,8,Not the same,1,6,Same,1,4,Not the same,1,8,Same,1,4,Not the same,0,5,Not the same,1,7,Same,1,8,Same,1,11,Not the same,1,6,Not the same,1,6,Not the same,1,5,Same,1,6,Same,1,8,Not the same,1,4,Same,1,9,Not the same,0,12,Not the same,1,5,Not the same,1,4,Same,1,7,Same,1,13,Not the same,0,5,Not the same,1,7,Same,0,5,Not the same,0,5,Not the same,1,5,Not the same,1,5,Not the same,0,4,Not the same,0,4,Same,0,8,Same,0,6
rkr0955,24,297,F,809,gautnc14stl,,TNC,3193,Temba,27164,NATED,27208,Management Assistant N4,0,0,657867,23/11/2015 10:14,228,32,4,24,150,Same,1,9,Not the same,1,4,Not the same,1,6,Same,1,3,Same,0,3,Same,1,3,Same,1,5,Not the same,1,7,Same,1,3,Same,1,6,Not the same,1,4,Not the same,1,3,Not the same,1,3,Same,1,5,Same,1,6,Not the same,1,3,Same,1,5,Same,1,2,Not the same,1,3,Not the same,1,4,Same,1,10,Same,1,3,Not the same,0,6,Same,0,6,Same,0,7,Not the same,0,7,Not the same,1,2,Same,0,4,Same,1,4,Same,1,6,Same,0,3,Same,0,5
rkr0956,23,281,F,809,gautnc14stl,,TNC,3193,Temba,27265,REGISTRATION,0,,0,0,657853,23/11/2015 10:10,228,32,3,21,116,Same,1,7,Not the same,1,7,Same,0,5,Same,1,3,Same,0,4,Same,1,4,Same,1,5,Not the same,1,6,Same,1,3,Same,1,4,Not the same,1,5,Not the same,1,3,Not the same,1,4,Same,1,3,Same,1,4,Same,0,3,Same,1,3,Same,1,2,Same,0,3,Same,0,2,Same,1,3,Same,1,3,Same,1,2,Not the same,1,5,Same,0,3,Not the same,0,3,Same,0,2,Same,0,2,Same,1,2,Same,1,4,Same,0,4,Same,0,3
rkr0957,25,307,F,809,gautnc14stl,,TNC,3193,Temba,27164,NATED,27208,Management Assistant N4,0,0,657835,23/11/2015 10:06,228,32,4,23,167,Not the same,0,9,Not the same,1,5,Not the same,1,7,Same,1,11,Not the same,1,5,Same,1,5,Not the same,0,10,Not the same,1,4,Same,1,7,Same,1,7,Not the same,1,6,Not the same,1,3,Not the same,1,3,Same,1,5,Same,1,3,Not the same,1,6,Same,1,4,Not the same,0,6,Not the same,1,3,Same,0,6,Same,1,3,Same,1,3,Same,1,3,Same,0,6,Not the same,1,5,Not the same,0,4,Not the same,1,4,Same,0,4,Same,1,4,Not the same,0,7,Same,0,4,Not the same,1,5
rkr0958,19,231,F,809,gautnc14stl,,TNC,3193,Temba,27164,NATED,27208,Management Assistant N4,0,0,657750,23/11/2015 09:35,228,32,3,22,142,Same,1,5,Not the same,1,3,Same,0,4,Same,1,3,Not the same,1,9,Same,1,4,Same,1,5,Not the same,1,3,Same,1,3,Not the same,0,6,Not the same,1,3,Same,0,4,Not the same,1,4,Same,1,3,Same,1,3,Same,0,3,Same,1,5,Same,1,2,Not the same,1,6,Not the same,1,4,Same,1,4,Same,1,2,Not the same,0,4,Not the same,1,5,Not the same,1,4,Same,1,8,Same,0,7,Same,0,5,Not the same,0,8,Same,1,5,Same,0,5,Same,0,3
rkr0959,0,7,F,809,gautnc14stl,,TNC,3193,Temba,27164,NATED,27208,Management Assistant N4,0,0,657310,20/11/2015 11:47,230,32,2,20,202,Same,1,9,Not the same,1,6,Not the same,1,8,Same,1,7,Same,0,5,Same,1,5,Not the same,0,6,Not the same,1,14,Same,1,5,Same,1,4,Not the same,1,5,Not the same,1,5,Not the same,1,4,Same,1,6,Same,1,8,Same,0,4,Same,1,5,Same,1,4,Not the same,1,5,Not the same,1,5,Not the same,0,10,Same,1,9,Not the same,0,7,Same,0,6,Same,0,4,Not the same,0,7,Same,0,8,Not the same,1,8,Not the same,0,4,Not the same,0,10,Not the same,1,3,Same,0,6
rkr0961,33,400,F,809,gautnc14stl,,TNC,3193,Temba,27164,NATED,27208,Management Assistant N4,0,0,657195,20/11/2015 10:20,231,32,1,17,84,Same,1,3,Same,0,2,Same,0,2,Same,1,2,Same,0,3,Same,1,2,Same,1,3,Same,0,2,Same,1,2,Same,1,4,Same,0,3,Same,0,2,Same,0,2,Same,1,2,Same,1,2,Not the same,1,4,Same,1,2,Same,1,1,Same,0,2,Same,0,5,Same,1,3,Same,1,6,Same,1,3,Same,0,3,Same,0,2,Same,1,2,Same,0,3,Same,0,2,Same,1,3,Same,1,2,Same,0,3,Same,0,2
